City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,Olafsvik,64.8945,-23.7142,41.61,90,100,29.51,IS,2021-10-03 15:47:34
192,Souillac,-20.5167,57.5167,73.36,94,75,10.36,MU,2021-10-03 15:47:35
193,Pangoa,-12.1167,-73.0,78.15,83,75,1.92,PE,2021-10-03 15:47:35
194,Picota,-6.9197,-76.3304,91.89,54,79,0.27,PE,2021-10-03 15:47:35
195,Saskylakh,71.9167,114.0833,12.45,95,57,6.73,RU,2021-10-03 15:47:36
196,La Rioja,42.25,-2.5,53.49,89,100,4.81,ES,2021-10-03 15:47:36
197,Tutoia,-2.7619,-42.2744,89.58,61,90,16.33,BR,2021-10-03 15:47:37
198,Ranir Bazar,23.8333,91.3667,75.7,98,93,4.97,IN,2021-10-03 15:47:37
199,Arraial Do Cabo,-22.9661,-42.0278,80.56,88,75,14.97,BR,2021-10-03 15:47:37
200,Kruisfontein,-34.0033,24.7314,56.88,63,30,14.14,ZA,2021-10-03 15:47:38
201,Santiago Del Estero,-27.7951,-64.2615,52.5,58,100,7.96,AR,2021-10-03 15:47:38
202,Torbay,47.6666,-52.7314,61.88,72,75,4.61,CA,2021-10-03 15:47:38
203,Sur,22.5667,59.5289,84.2,75,100,19.33,OM,2021-10-03 15:47:39
204,Talnakh,69.4865,88.3972,15.06,96,68,1.59,RU,2021-10-03 15:47:39
205,Weihe,32.9952,105.3247,53.38,94,100,6.89,CN,2021-10-03 15:47:39
206,Cap Malheureux,-19.9842,57.6142,73.47,71,6,10.0,MU,2021-10-03 15:47:40
207,Kodiak,57.79,-152.4072,38.71,60,75,11.5,US,2021-10-03 15:44:43
208,Chokwe,-24.5333,32.9833,67.5,79,100,16.75,MZ,2021-10-03 15:47:40
209,Port Hardy,50.6996,-127.4199,48.2,78,18,1.28,CA,2021-10-03 15:47:40
210,Seybaplaya,19.65,-90.6667,85.8,57,56,4.21,MX,2021-10-03 15:47:41
211,North Platte,41.1239,-100.7654,53.49,58,1,3.0,US,2021-10-03 15:47:41
212,Nhulunbuy,-12.2333,136.7667,77.61,88,100,5.75,AU,2021-10-03 15:47:41
213,Matay,28.419,30.7792,82.04,31,0,11.7,EG,2021-10-03 15:47:42
